Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
245,Dicrioca PVC 7W GU10 Luz Calida,AN-DicriocaPVC7Wcal-Sant-Z2B,AN,DicriocaPVC7Wcal,Sant,Z2B
246,Fuente 220-12V,Aw-F220-12V-Sant-Z2B,Aw,F220-12V,Sant,Z2B
247,Te de 20 Fusion verde Amanco,Aw-TeFus20-Sant-Z2B,Aw,TeFus20,Sant,Z2B
248,Te de 25X20 Fusion verde Amanco,Aw-TeFus25X20-Sant-Z2B,Aw,TeFus25X20,Sant,Z2B
249,Te de 25X25 Fusion verde Amanco,Aw-TeFus25X25-Sant-Z2B,Aw,TeFus25X25,Sant,Z2B
250,Tapa de 25 Fusion Verde Amanco,Aw-TPFus25-Sant-Z2B,Aw,TPFus25,Sant,Z2B
251,Tapa de 32 Fusion Verde Amanco,AN-TPFus32-Elect-Z1A,AN,TPFus32,Elect,Z1A
252,Cupla de 32 Fusion verde Amanco,Rflx-CFus32-Elect-Z1A,Rflx,CFus32,Elect,Z1A
253,Te de 32 Fusion verde Amanco,Rflx-TeFus32-Elect-Z1A,Rflx,TeFus32,Elect,Z1A
254,Codo 25X3/4 R-H Fusion verde Amanco,Rflx-CD25X3/4-Elect-Z1A,Rflx,CD25X3/4,Elect,Z1A
255,Awaduct Cupla de 40MM,Rflx-C40MM-Elect-Z1A,Rflx,C40MM,Elect,Z1A
256,Manguito Aw 40 con rosca 3/4,Rflx-Mang40cRosca3/4-Elect-Z1A,Rflx,Mang40cRosca3/4,Elect,Z1A
257,Awaduct Caño de 50X1M,Rflx-CÑ50X1M-Elect-Z1A,Rflx,CÑ50X1M,Elect,Z1A
258,Awaduct Caño de 40X1M,Rflx-CÑ40X1M-Elect-Z1A,Rflx,CÑ40X1M,Elect,Z1A
259,Codo 25MM gris Amanco,Rflx-CD25MM-Elect-Z1A,Rflx,CD25MM,Elect,Z1A
260,Cupla de 25 Fusion gris Amanco,Rflx-CFus25-Elect-Z1A,Rflx,CFus25,Elect,Z1A
261,Amanco Caño 20MM Fusion Verde,Rflx-CÑ20MMFsnVerde-Elect-Z1A,Rflx,CÑ20MMFsnVerde,Elect,Z1A
262,Codo 20MM gris Amanco,Rflx-CD20MM-Elect-Z1A,Rflx,CD20MM,Elect,Z1A
263,Tbcin Punta Hueca gris 2;5MM,Rflx-PtaHuGr2;5-Elect-Z1A,Rflx,PtaHuGr2;5,Elect,Z1A
264,Peirano Vigo Cocina Mes.Monoc C/Duch Extens,Rflx-CnaVigo-Elect-Z1A,Rflx,CnaVigo,Elect,Z1A
265,Peirano Fabric Cocina Monocomando Gold,Rflx-CnaFabricGold-Elect-Z1A,Rflx,CnaFabricGold,Elect,Z1A
266,Robinet Bronx Bidet Oxido,Rvmx-BdtBronx-Pnt-Z3G,Rvmx,BdtBronx,Pnt,Z3G
267,Roca Inod The Gap LGO Sd Bco,Rvmx-IndTGapLgO-Pnt-Z3G,Rvmx,IndTGapLgO,Pnt,Z3G
268,Roca Depos The Gap 6/3 lts Bco,AN-DeposTGap6/3lts-Elect-Z1A,AN,DeposTGap6/3lts,Elect,Z1A
