Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
122,Ilva 45x90 Mediterranea Dig Steel i x 1;22M2,Ilv-PRCmd122-Crrln-Z3G,Ilv,PRCmd122,Crrln,Z3G
123,KlK Mezcla Porcelanato x 30 Kg,Klk-MzclaPc-Crrln-Z3G,Klk,MzclaPc,Crrln,Z3G
124,Pastina Prestige Perlato x 5 Kg (x bolsa),Prdtg-Pstina-Frrt-Z1B,Prdtg,Pstina,Frrt,Z1B
125,Temple Juego Cocina Monoc.C/Rociador-0412/87-CR,Fv-CnnaMonoc-Sant-Z2B,Fv,CnnaMonoc,Sant,Z2B
126,Varese-Deposito de Apoyar-Linea Varese,Frr-DpsitoApoy-Sant-Z2B,Frr,DpsitoApoy,Sant,Z2B
127,Varese-Bidet 1AG-Linea Varese,Frr-Bdt1AGVrs-Sant-Z2B,Frr,Bdt1AGVrs,Sant,Z2B
128,Varese-Inodoro Largo-Linea Varese,Frr-IndlrgVrs-Sant-Z2B,Frr,IndlrgVrs,Sant,Z2B
129,Daccord Bari-Tapa Mdf Herraje Nylon,Frr-TpBari-Sant-Z2B,Frr,TpBari,Sant,Z2B
130,Bari-Deposito de Apoyar Desc Dual-Linea Bari,Frr-DpsitoBari-Sant-Z2B,Frr,DpsitoBari,Sant,Z2B
131,Bari-Inodoro Largo-Linea Bari,Frr-IndBari-Sant-Z2B,Frr,IndBari,Sant,Z2B
132,Bacha Porcelana Sanitaria,Frr-BchaPor-Sant-Z2B,Frr,BchaPor,Sant,Z2B
133,Pileta Acero 304 Simple-Luxor SI 71A-Simples-71x48;2x21,Lux-Pleta71x48-Sant-Z2B,Lux,Pleta71x48,Sant,Z2B
134,Varese/Veneto-Tapa Asiento Uf C/Cierre Suave-Linea Varese,Frr-TpaVrse-Sant-Z2B,Frr,TpaVrse,Sant,Z2B
135,"9 de julio Conector de hierro 1"" (Bolsa de 50)",9JL-CH1-Elect-Z1A,9JL,CH1,Elect,Z1A
136,Ag.Met Grampa media Omega 3/4 Li.Zincada,Agmt-GrMO3/4-Elect-Z1A,Agmt,GrMO3/4,Elect,Z1A
137,BmB Curva de Plastico para caño 3/4 (Bolson),Bmb-CP3/4-Elect-Z1A,Bmb,CP3/4,Elect,Z1A
